,isbn10,BibNum,title,subtitle,authors,categories,description,avg_rating,num_pages,num_ratings,best_seller,rank,price,weeks_on_list,publisher,publication_date,Subjects,ItemType,Checkouts_2005,Checkouts_2006,Checkouts_2007,Checkouts_2008,Checkouts_2009,Checkouts_2010,Checkouts_2011,Checkouts_2012,Checkouts_2013,Checkouts_2014,Checkouts_2015,Checkouts_2016,Checkouts_2017
32,0886773520,552926.0,Magic's Pawn,None,Mercedes Lackey,Fiction,"In Magic's Pawn, an ancient age in the history of Valdemar comes to life--an age when the kingdom was ravaged by the ungoverned fury of bandit warlords, ferocious ice dragons, and the wild magic of wizards. A new addition to Lackey's Valdemar kingdom--and her most powerful series to date!",4.21,349.0,22132.5,0,-1.0,-1.0,-1.0,DAW Books Inc,6/6/1989,Valdemar Imaginary place Fiction,acbk,31.0,41.0,28.0,16.0,24.0,34.0,29.0,23.0,13.0,12.0,23.0,13.0,6.0
33,0886774268,563133.0,Magic's Price,None,Mercedes Lackey,Fiction,"Vanyel, the powerful Herald-Mage, stands alone in the battle against the evil forces threatening the once-peaceful kingdom of Valdemar, accompanied only by his companion, Yfandes",4.27,351.0,18580.5,0,-1.0,-1.0,-1.0,DAW Books Inc,7/3/1990,"Valdemar Imaginary place Fiction, Magic Fiction, Fantasy fiction",acbk,23.0,27.0,20.0,8.0,12.0,33.0,22.0,14.0,8.0,7.0,11.0,12.0,1.0
34,0394757653,565668.0,The Simple Art of Murder,None,Raymond Chandler,Fiction,"An essay on detective fiction accompanies eight stories about a politician's murder, a hotel detective, missing pearls, and gangsters",4.16,384.0,4873.0,0,-1.0,-1.0,-1.0,Vintage Crime/Black Lizard,9/12/1988,"Detective and mystery stories American, Detective and mystery stories Authorship",acbk,26.0,26.0,21.0,27.0,32.0,27.0,29.0,14.0,17.0,16.0,11.0,5.0,9.0
35,0802135781,576192.0,Sexing the Cherry,None,Jeanette Winterson,Fiction,"Interweaving elements of fantasy and history, this novel chronicles the adventures of Jordan, who lives with his mother by the Thames during the reign of Charles II, as he follows his dreams to the end of the world, and beyond",3.8200000000000003,167.0,12125.5,0,-1.0,-1.0,-1.0,Grove Press,8/10/1998,None,acbk,18.0,22.0,16.0,13.0,14.0,10.0,11.0,13.0,20.0,22.0,14.0,10.0,7.0
36,0679732179,586219.0,Go Down  Moses,None,William Faulkner,Fiction,"Set in mythical Yoknapatawpha County, seven interrelated stories deal with the complex, changing relationships between Blacks and whites and between man and nature",3.93,365.0,8193.0,0,-1.0,-1.0,-1.0,Vintage,1/30/1991,"Yoknapatawpha County Imaginary place Fiction, Mississippi Social life and customs Fiction",acbk,5.0,13.0,10.0,16.0,17.0,21.0,13.0,9.0,6.0,6.0,27.0,17.0,14.0
37,0679732268,586327.0,Light in August,None,William Faulkner,Fiction,"In a novel about hopeless perseverance in the face of mortality, guileless Lena Grove searches for the father of her unborn child, Reverend Hightower is plagued by visions of Confederate horsemen, and drifter Joe Christmas is consumed by his mixed ancestry",3.94,507.0,46987.5,0,-1.0,-1.0,-1.0,Vintage,1/30/1991,"Racially mixed people Mississippi Fiction, Pregnant women Mississippi Fiction, Drifters Mississippi Fiction, Mississippi Fiction",acbk,88.0,105.0,102.0,106.0,85.0,59.0,39.0,67.0,66.0,79.0,67.0,44.0,34.0
38,0062700251,629387.0,Bulfinch's Mythology,"The Age of the Fable, The Age of Chivalry, Legends of",Richard P. Martin,Reference,"A beautiful gift edition of Thomas Bulfinch's classic retelling of famous myths and folk legends, with interpretive essays by Princeton classics professor Richard P. Martin.",4.1,768.0,65.0,0,-1.0,-1.0,-1.0,Collins Reference,12/24/1991,"Mythology, Romances",jcbk,3.0,2.0,3.0,3.0,6.0,6.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0
39,0679411674,637767.0,Jazz,None,Toni Morrison,African Americans,"Presents six novels by American Nobel laureate Toni Morrison--""Beloved,"" ""Sula,"" ""Jazz,"" ""Tar Baby,"" ""Song of Solomon,"" and ""The Bluest Eye""--Which explore the African-American experience in America's predominantly white culture.",3.8049999999999997,229.0,408.5,0,-1.0,-1.0,-1.0,Alfred A. Knopf,4/7/1992,None,acbk,10.0,10.0,7.0,12.0,17.0,12.0,8.0,10.0,4.0,0.0,2.0,7.0,1.0
40,0226307808,708574.0,Euripides I,Alcestis; The Medea; The Heracleidae; Hippolytus,Euripides,Greek drama (Tragedy),Table of Contents: Alcestis / translated by Richmond Lattimore -- The Medea / translated by Rex Warner -- The Heracleidae / translated by Ralph Gladstone -- Hippolytus / translated by David Grene.,4.03,221.0,4482.5,0,-1.0,-1.0,-1.0,University of Chicago Press,2/15/1955,Mythology Greek Drama,acbk,3.0,0.0,4.0,7.0,5.0,3.0,5.0,1.0,1.0,4.0,6.0,3.0,0.0
41,0691019622,911241.0,Fear and Trembling,And The Sickness Unto Death,Søren Kierkegaard/Walter Lowrie,Christianity,"The two books comprised in this volume are in greater demand than any other works of Kierkegaard. This preference is a credit to the public taste, for Kierkegaard himself called them ""the most perfect books I have written,"" though in this commendation he included The Concept of Dread, and later stretched it to include Training in Christianity.",4.1,420.0,507.0,0,-1.0,-1.0,-1.0,Princeton University Press,11/21/1968,"Christianity Philosophy, Sin, Repetition Philosophy",acbk,0.0,3.0,3.0,3.0,4.0,7.0,3.0,2.0,5.0,6.0,6.0,6.0,2.0
42,0822205106,1126698.0,The Heidi Chronicles,None,Wendy Wasserstein,Literary Criticism,"THE STORY: Comprised of a series of interrelated scenes, the play traces the coming of age of Heidi Holland, a successful art historian, as she tries to find her bearings in a rapidly changing world. Gradually distancing herself from her friends, s",3.74,81.0,1385.5,0,-1.0,-1.0,-1.0,Dramatists Play Service,3/1/2002,None,acbk,5.0,19.0,8.0,3.0,11.0,14.0,10.0,7.0,8.0,11.0,12.0,11.0,12.0
43,0674673778,1252096.0,Playing in the Dark,Whiteness and the Literary Imagination,Toni Morrison,Literary Criticism,"Examines the effect of a racially divided society on ninteenth century American writings, and discusses works by Poe, Hawthorne, Melville, and Twain",4.23,110.0,3583.0,0,-1.0,-1.0,-1.0,Harvard University Press,5/1/1992,"American literature White authors History and criticism, African Americans in literature, Blacks in literature, Race in literature",acbk,3.0,5.0,1.0,3.0,1.0,1.0,4.0,8.0,9.0,4.0,8.0,5.0,15.0
44,0800730305,1258209.0,Letters of St. Augustine,None,Augustine of Hippo,Christian saints,"The selections gathered in this volume are social and business letters written during the period of St. Augustine's monastic retirement, and reflect his multifaceted obligations and concerns as bishop, counselor, preacher, and judge. Of timeless interest, his ideas have had a lasting impact on theology, philosophy, and Western religion.",4.390000000000001,255.0,19.5,0,-1.0,-1.0,-1.0,Fleming H. Revell Company,3/1/1992,"Augustine Saint Bishop of Hippo Correspondence, Christian saints Algeria Hippo Extinct city Correspondence",acbk,3.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
45,039484484X,1260303.0,The 500 Hats of Bartholomew Cubbins,None,Dr. Seuss,Juvenile Fiction,"Each time Bartholomew Cubbins attempts to obey the King's order to take off his hat, he finds there is another one on his head.",4.04,56.0,12945.5,0,-1.0,-1.0,-1.0,Random House Books for Young Readers,12/9/1989,"Hats Juvenile fiction, Fairy tales",jcbk,223.0,326.0,323.0,278.0,234.0,202.0,195.0,326.0,288.0,266.0,307.0,230.0,109.0
