,isbn10,BibNum,title,subtitle,authors,categories,description,avg_rating,num_pages,num_ratings,best_seller,rank,price,weeks_on_list,publisher,publication_date,Subjects,ItemType,Checkouts_2005,Checkouts_2006,Checkouts_2007,Checkouts_2008,Checkouts_2009,Checkouts_2010,Checkouts_2011,Checkouts_2012,Checkouts_2013,Checkouts_2014,Checkouts_2015,Checkouts_2016,Checkouts_2017
79,0822215020,1676978.0,Having Our Say,The Delany Sisters' First 100 Years : a Play,Emily Mann;Sarah Louise Delany,Drama,"THE STORY: HAVING OUR SAY opens as 103-year-old Sadie Delany and 101-year-old Bessie Delany welcome us into their Mount Vernon, New York, home. As they prepare a celebratory dinner in remembrance of their father's birthday, they take us on a remark",4.039999999999999,162.0,79.0,0,-1.0,-1.0,-1.0,Dramatists Play Service,3/1/1996,"Delaney family Drama, Delany Sarah Louise 1889 1999 Drama, Delany Annie Elizabeth 1891 1995 Drama, African Americans Drama, United States Race relations Drama",acbk,0.0,2.0,0.0,4.0,0.0,2.0,1.0,4.0,2.0,1.0,0.0,1.0,0.0
80,0553103741,1688824.0,The Illustrated A Brief History of Time,None,Stephen Hawking,Science,"An illustrated, large-format edition of the best-seller has been expanded to encompass the remarkable advances that have occurred in science and technology over the past eight years, with a new chapter on Wormholes and Time Travel and more than 240 full-color, captioned illustrations. 100,000 first printing.",4.165,256.0,783.5,0,-1.0,-1.0,-1.0,Bantam Books,11/1/1996,Cosmology,acbk,15.0,18.0,14.0,23.0,15.0,9.0,7.0,12.0,21.0,32.0,32.0,14.0,12.0
81,0822013541,1702373.0,"Beckett's Waiting for Godot, Endgame, & Other Plays",Notes,Jeffrey Fisher;James L. Roberts,Study Aids,"A true innovation for the stage, Waiting for Godot is one of the greatest successes of the Theater of the Absurd. Although the subject and play is bleak in appearance, a semblance of nobility emerges as the two characters maintain hope. This volume also covers Endgame, All That Fall, Act Without Words I, and Krapp's Last Tape.",3.67,72.0,3.0,0,-1.0,-1.0,-1.0,Cliffs Notes,7/28/1980,"Beckett Samuel 1906 1989 Attendant Godot, Beckett Samuel 1906 1989 Criticism and interpretation, Beckett Samuel 1906 1989 Fin de partie",acbk,1.0,3.0,2.0,1.0,3.0,1.0,3.0,0.0,1.0,6.0,1.0,2.0,1.0
82,0822008254,1705506.0,Middlemarch,Notes,Brian Johnston;Mary Ellen Snodgrass,Study Aids,"Includes George Eliot's life and career, a general snyopsis, a list of characters, chapter summaries and commentaries, and analysis of main characters, and more.",4.14,109.0,7.0,0,-1.0,-1.0,-1.0,Cliffs Notes,7/6/1967,Eliot George 1819 1880 Middlemarch,acbk,1.0,0.0,0.0,0.0,3.0,3.0,3.0,2.0,1.0,6.0,3.0,4.0,3.0
83,0822002108,1708159.0,Cliffs notes on Faulkner's As I lay dying,None,James L. Roberts,Literary Criticism,"Presents a guide to understanding William Faulkner's ""As I Lay Dying,"" examining the life of the author, discussing the structure and narrative technique employed in the novel, featuring analysis and commentary on individual sections, and including character notes, and other study aids.",3.79,72.0,9.0,0,-1.0,-1.0,-1.0,Cliffs Notes,3/13/1964,Faulkner William 1897 1962 As I lay dying,acbk,5.0,3.0,3.0,1.0,4.0,3.0,3.0,3.0,3.0,5.0,4.0,0.0,0.0
84,0822005336,1711410.0,CliffsNotes on Williams' The Glass Menagerie & Streetcar Named Desire,None,James L. Roberts,Literary Criticism,"The original CliffsNotes study guides offer a look into key elements and ideas within classic works of literature. CliffsNotes on Glass Menagerie & Streetcar Named Desire explores two popular plays, both of which take place in the South and borrow heavily from author Tennessee Williams’s own life experiences. Following stories marked by struggle among loved ones, this study guide provides summaries and critical commentaries for each scene within the works. Other features that help you figure out this important work include Personal background on the playwright Introduction to and synopsis of the plays In-depth analyses of the cast of characters Review section that features interactive quizzes and suggested essay topics Selected bibliographies for both plays Classic literature or modern-day treasure — you'll understand it all with expert information and insight from CliffsNotes study guides.",3.74,88.0,9.5,0,-1.0,-1.0,-1.0,Cliffs Notes,1/5/1965,"Williams Tennessee 1911 1983 Glass menagerie, Williams Tennessee 1911 1983 Streetcar named Desire",acbk,2.0,2.0,1.0,0.0,1.0,2.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0
85,0345384563,1725355.0,A history of God,"from Abraham to the present, the 4000-year quest for God",Karen Armstrong,God (Christianity),None,3.87,496.0,1320.5,0,-1.0,-1.0,-1.0,Ballantine Books,8/9/1994,"God Comparative studies, God Biblical teaching, God History of doctrines, God Islam History of doctrines, God Judaism History of doctrines, Judaism Doctrines History, Islam Doctrines History",acbk,46.0,85.0,63.0,84.0,87.0,65.0,67.0,31.0,30.0,17.0,34.0,33.0,23.0
86,0871136791,1731631.0,Cold Mountain,None,Charles Frazier,Fiction,"Inman, a wounded soldier, walks away from the front during the Civil War to return to his prewar sweetheart, Ada, who desperately works to revive a struggling farm",3.855,356.0,1068.0,0,-1.0,-1.0,-1.0,Atlantic Monthly Press (NYC),5/16/1997,United States History Civil War 1861 1865 Fiction,acbk,62.0,124.0,108.0,74.0,107.0,97.0,98.0,68.0,48.0,44.0,50.0,30.0,16.0
87,0679838864,1733785.0,Junie B. Jones and a Little Monkey Business,None,Barbara Park,Juvenile Fiction,"Through a misunderstanding, Junie B. thinks that her new baby brother is really a baby monkey, and her report of this news creates excitement and trouble in her kindergarten class.",3.9850000000000003,68.0,10950.5,0,-1.0,-1.0,-1.0,Random House Books for Young Readers,2/16/1993,"Babies Fiction, Brothers and sisters Fiction, Kindergarten Juvenile fiction, Schools Fiction",jcbk,92.0,127.0,141.0,82.0,51.0,54.0,48.0,31.0,113.0,102.0,126.0,120.0,90.0
88,0822002965,1733835.0,CliffsNotes on Heller's Catch-22,None,C. A. Peek,Literary Criticism,"The original CliffsNotes study guides offer expert commentary on major themes, plots, characters, literary devices, and historical background. CliffsNotes on Catch-22 takes you into this unforgettable novel that is full of satire, exaggeration, grotesque and comic caricatures, and telling allusions. Heller’s main characters are two Jewish boys from Brooklyn at the end of World War II – one from an orthodox family, one from a secular background. The growing friendship between the boys reflects the tensions within American society. With this study guide, you’ll be able to follow the unique structure of the novel and supplement your reading with insights into the life and background of author Joseph Heller. Other features that help you study include Life and background of the author Character analyses of major players A character map that graphically illustrates the relationships among the characters Critical essays Review questions Classic literature or modern modern-day treasure — you'll understand it all with expert information and insight from CliffsNotes study guides.",3.5549999999999997,48.0,36.0,0,-1.0,-1.0,-1.0,Cliffs Notes,12/31/1975,Heller Joseph Catch 22,acbk,3.0,2.0,2.0,2.0,0.0,3.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0
89,0140139400,1737763.0,The Spectator Bird,None,Wallace Stegner,Fiction,Retired literary agent Joe Allston passes through life as a spectator until he discovers the journals of a trip he took to his mother's birthplace years before.,3.9850000000000003,214.0,4672.5,0,-1.0,-1.0,-1.0,Penguin,11/1/1990,"Married people California Fiction, Americans Travel Denmark Fiction, Domestic fiction",acbk,17.0,37.0,54.0,45.0,39.0,31.0,29.0,22.0,49.0,56.0,47.0,26.0,12.0
90,0375400702,1749808.0,Molloy,Malone Dies ; The Unnamable,Samuel Beckett,Fiction,"Mysteriously imprisoned, Molloy disappears while looking for his mother; a dying man looks back on his life; and, a nameless individual ponders his existence",4.28,512.0,6693.5,0,-1.0,-1.0,-1.0,Everyman's Library,9/16/1997,None,acbk,3.0,20.0,27.0,33.0,36.0,36.0,28.0,25.0,19.0,16.0,16.0,16.0,9.0
91,1556432461,1755435.0,Your Inner Physician and You,Craniosacral Therapy and Somatoemotional Release,John E. Upledger,Medical,"The ""inner physician"" is that part of the psyche that can heal--when one becomes aware of the psycho-emotional issues that come with pain. Dr. Upledger describes his methods through personal accounts such as that from Mary Ellen Clark, the Olympic diver, whom he cured of dizziness.",4.1,240.0,241.0,0,-1.0,-1.0,-1.0,North Atlantic Books,9/4/1997,Craniosacral therapy,acbk,6.0,18.0,15.0,22.0,17.0,12.0,15.0,11.0,12.0,20.0,6.0,6.0,9.0
92,1883011493,1758738.0,Crime Novels,American Noir of the 1930s and 40s,,American fiction,A collection of classic stories exemplify the best of American noir fiction from the 1930s to the 1950s.,4.365,892.0,417.0,0,-1.0,-1.0,-1.0,Library of America,9/1/1997,"Detective and mystery fiction, Noir fiction",acbk,8.0,4.0,5.0,12.0,9.0,18.0,8.0,10.0,8.0,6.0,7.0,11.0,2.0
93,0684801523,1761418.0,The Great Gatsby,None,Francis Scott Fitzgerald,Computers,"A young man newly rich tries to recapture the past and win back his former love, despite the fact she has married",3.91,216.0,9760.5,0,-1.0,-1.0,-1.0,Scribner,6/1/1995,"Man woman relationships New York State Long Island Fiction, Upper class New York State Long Island Fiction, Long Island N Y Fiction",acbk,157.0,291.0,252.0,261.0,284.0,221.0,232.0,234.0,201.0,66.0,44.0,24.0,13.0
94,0679420258,1768044.0,If on a Winter's Night a Traveler,None,Italo Calvino;William Weaver,Fiction,"Ten different and thoroughly dissimilar novels intertwine as the beginning of each book, interrupted at a critical moment of suspense, leads into yet another novel reflecting yet another literary mode",4.055,254.0,1428.0,0,-1.0,-1.0,-1.0,Everyman's Library,6/1/1993,None,acbk,16.0,49.0,57.0,53.0,70.0,83.0,80.0,53.0,106.0,103.0,83.0,57.0,44.0
95,0385468865,1771028.0,Obasan,None,Joy Kogawa,Fiction,"'A moving vision of an affront to democratic principles... A tour de force, a deeply felt novel, brilliantly poetic in its sensibility' - New York Times",3.635,320.0,5272.0,0,-1.0,-1.0,-1.0,Anchor Books,12/27/1993,"Japanese Canada Evacuation and relocation 1942 1945 Fiction, World War 1939 1945 Canada Fiction, Historical fiction",acbk,20.0,22.0,27.0,21.0,21.0,13.0,24.0,15.0,15.0,9.0,15.0,16.0,7.0
96,0374253846,1779888.0,That Same Flower,Floria Aemilia's Letter to Saint Augustine,Jostein Gaarder;Anne Born,Fiction,"Floria Aemilia, a concubine to St. Augustine for more than ten years prior to his spiritual awakening, challenges St. Augustine's view of women and love as described in his ""Confessions,"" in a fictional letter addressing faith, doubt, and human relationships",3.67,167.0,69.0,0,-1.0,-1.0,-1.0,Farrar Straus and Giroux,2/28/1998,None,acbk,4.0,3.0,0.0,3.0,4.0,1.0,4.0,1.0,2.0,0.0,2.0,0.0,0.0
97,0375701885,1787142.0,The Amen Corner,A Play,James Baldwin,Drama,"The play centers on the dilemma of the congregation of a Harlem storefront church when they realize Sister Margaret, their leader, is not a saint.",3.9,112.0,447.0,0,-1.0,-1.0,-1.0,Vintage,2/17/1998,"African American churches New York State New York Drama, African American families New York State New York Drama, Harlem New York N Y Drama",acbk,4.0,3.0,1.0,0.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,3.0,4.0
98,0789420341,1789636.0,Disaster!,None,Richard Platt,Juvenile Fiction,"Documents some of the most devastating events in world history, including natural disasters, accidents, and plagues.",4.085,63.0,16.5,0,-1.0,-1.0,-1.0,DK Publishing (Dorling Kindersley),9/1/1997,"Horror stories, Horror fiction",jcbk,6.0,16.0,17.0,21.0,10.0,15.0,12.0,0.0,2.0,4.0,0.0,2.0,1.0
99,0060175648,1798599.0,Identity,A Novel,Milan Kundera,Fiction,"Milan Kundera's Identity translated from the French by Linda Asher. There are situations in which we fail for a moment to recognize the person we are with, in which the identity of the other is erased while we simultaneously doubt our own. That also happens with couples -- indeed, above all with couples, because lovers fear more than anything else ""losing sight"" of the loved one. With stunning artfulness in expanding and playing variations on the meaningful moment, Milan Kundera has made this situation -- and the vague sense of panic it inspires -- the very fabric of his new novel. Here brevity goes hand in hand with intensity, and a moment of bewilderment marks the start of a labyrinthine journey during which the reader repeatedly crosses the border between the real and the unreal, between what occurs in the world outside and what the mind creates in its solitude. Of all contemporary writers, only Kundera can transform such a hidden and disconcerting perception into the material for a novel, one of his finest, most painful, and most enlightening. Which, surprisingly, turns out to be a love story.",3.68,176.0,263.0,0,-1.0,-1.0,-1.0,Harper,4/21/1998,"Man woman relationships Fiction, Identity Psychology Fiction",acbk,22.0,27.0,25.0,20.0,17.0,20.0,7.0,5.0,3.0,5.0,20.0,8.0,7.0
100,0395809991,1807015.0,The Riverside Milton,None,John Milton,Literary Collections,"Students and scholars will rejoice that the famed works of John Milton (1608-1974) now join those of Chaucer and Shakespeare in the definitive, one-volume Riverside series. Milton's early poetry is here and his important prose, but pride of place is given to his epics, PARADISE LOST and PARADISE REGAINED as well as his final masterpiece, the dramatic SAMSON AGONISTES.",4.26,1248.0,756.0,0,-1.0,-1.0,-1.0,Cengage Learning,3/9/1998,None,acbk,4.0,5.0,4.0,5.0,4.0,1.0,6.0,0.0,2.0,1.0,0.0,1.0,1.0
101,0142000205,1822882.0,Icy Sparks,None,Gwyn Hyman Rubio,Fiction,"After years of living in a children's asylum for having spontaneous jerks and spasms, Icy returns home and is quickly befriended by Miss Emily, who cares for her and teaches her the ways of life, transforming Icy into a new person and forever changing her view of the world.",3.6950000000000003,320.0,37347.5,0,-1.0,-1.0,-1.0,Penguin Books,3/8/2001,None,acbk,39.0,39.0,42.0,28.0,18.0,9.0,10.0,6.0,11.0,8.0,4.0,3.0,2.0
102,081221627X,1825357.0,"Aeschylus, 1","The Oresteia (Agamemnon, The Libation Bearers, The Eumenides)",Aeschylus,Drama,"From the Penn Greek Drama Series, this volume offers translations by David Slavitt of the great trilogy of the House of Atreus, telling of Agamemnon's murder at the hands of his wife, Clytemnestra, and her lover, Aegisthus, and of Electra's rebelliousness and Orestes's ultimate revenge.",4.015,178.0,12.0,0,-1.0,-1.0,-1.0,University of Pennsylvania Press,11/1/1997,"Aeschylus Translations into English, Greek drama Tragedy Translations into English, Mythology Greek Drama, Tragedies",acbk,0.0,1.0,3.0,1.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0
103,0393318680,1825408.0,Filth,A Novel,Irvine Welsh,Fiction,Tells the story of a detective who sees in a racially motivated murder case the chance to win a promotion,3.7350000000000003,393.0,20936.0,0,-1.0,-1.0,-1.0,W. W. Norton  Company,9/17/1998,"Police Scotland Edinburgh Fiction, Murder Scotland Edinburgh Fiction, Cocaine abuse Fiction, Edinburgh Scotland Fiction, Black humor",acbk,4.0,5.0,8.0,3.0,0.0,21.0,12.0,11.0,4.0,12.0,13.0,6.0,2.0
104,0452278155,1831253.0,Savage Love,Straight Answers from America's Most Popular Sex Columnist,Dan Savage,Self-Help,"An original and funny thinker, trashing around in the playground of human sexuality, Savage advises on a wide range of titillating topics.",3.8449999999999998,352.0,892.5,0,-1.0,-1.0,-1.0,Penguin Books,10/1/1998,"Sex Miscellanea, Man woman relationships Miscellanea, Love Miscellanea",acbk,27.0,29.0,28.0,30.0,51.0,37.0,22.0,10.0,33.0,20.0,18.0,9.0,4.0
105,0679722319,1831439.0,Where I'm Calling from,New and Selected Stories,Raymond Carver,Fiction,"A unique collection by an extraordinary writer, this collection of Carver's best spans his literary career and includes seven new works. Since his untimely death in August of 1988, Raymond Carver's popularity has increased dramatically.",4.42,544.0,18124.5,0,-1.0,-1.0,-1.0,Vintage Contemporaries,9/12/2000,Short stories,acbk,28.0,47.0,39.0,29.0,25.0,24.0,44.0,39.0,31.0,52.0,45.0,19.0,35.0
106,0312243359,1834099.0,We Wish to Inform You That Tomorrow We Will Be Killed with Our Families,Stories From Rwanda,Philip Gourevitch,History,"An unforgettable firsthand account of a people's response to genocide and what it tells us about humanity. This remarkable debut book chronicles what has happened in Rwanda and neighboring states since 1994, when the Rwandan government called on everyone in the Hutu majority to murder everyone in the Tutsi minority. Though the killing was low-tech--largely by machete--it was carried out at shocking speed: some 800,000 people were exterminated in a hundred days. A Tutsi pastor, in a letter to his church president, a Hutu, used the chilling phrase that gives Philip Gourevitch his title. With keen dramatic intensity, Gourevitch frames the genesis and horror of Rwanda's ""genocidal logic"" in the anguish of its aftermath: the mass displacements, the temptations of revenge and the quest for justice, the impossibly crowded prisons and refugee camps. Through intimate portraits of Rwandans in all walks of life, he focuses on the psychological and political challenges of survival and on how the new leaders of postcolonial Africa went to war in the Congo when resurgent genocidal forces threatened to overrun central Africa. Can a country composed largely of perpetrators and victims create a cohesive national society? This moving contribution to the literature of witness tells us much about the struggle everywhere to forge sane, habitable political orders, and about the stubbornness of the human spirit in a world of extremity. We Wish to Inform You That Tomorrow We Will Be Killed with Our Families is the winner of the National Book Critics Circle Award for Nonfiction.",4.245,356.0,24180.0,0,-1.0,-1.0,-1.0,Picador USA,9/4/1999,"Genocide Rwanda, Rwanda Politics and government, Rwanda Ethnic relations",acbk,41.0,65.0,40.0,48.0,41.0,34.0,27.0,26.0,31.0,14.0,22.0,17.0,12.0
107,0807123331,1842257.0,The Collected Poems of Robert Penn Warren,None,Robert Penn Warren;John Burt,Poetry,?,4.37,838.0,171.5,0,-1.0,-1.0,-1.0,LSU Press,10/1/1998,None,acbk,3.0,0.0,2.0,2.0,3.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0
108,0375500723,1844433.0,The Heart of a Woman,None,Maya Angelou,Biography & Autobiography,"In the fourth volume of her autobiography, the author describes her experiences as a singer-dancer in New York and her impressions of the Civil Rights movement",4.2,288.0,17684.5,0,-1.0,-1.0,-1.0,Random House,5/17/1997,"Angelou Maya, African American women authors 20th century Biography, Entertainers United States Biography, Authors American 20th century Biography",acbk,3.0,32.0,14.0,14.0,21.0,7.0,19.0,10.0,11.0,15.0,11.0,8.0,13.0
109,0452011671,1846176.0,The Oedipus Plays of Sophocles,"Oedipus the King, Oedipus at Colonus, Antigone",Sophocles/Paul Roche,Drama,"Contains the complete texts of Sophocles' Theban trilogy about a noble family's fall from wealth and power by pride, incest, suicide, and murder.",3.97,288.0,541.0,0,-1.0,-1.0,-1.0,Plume,5/1/1996,"Sophocles Translations into English, Oedipus Greek mythology Drama, Antigone Greek mythology Drama",acbk,9.0,13.0,10.0,16.0,13.0,11.0,5.0,10.0,10.0,8.0,4.0,2.0,1.0
110,067499566X,1848044.0,Αλκηστισ,"African Americans, Jews, and American Popular Song",Euripides,Alcestis (Greek mythology),"Euripides of Athens (ca. 485-406 BC), famous in every age for the pathos, terror, surprising plot twists, and intellectual probing of his dramatic creations wrote nearly ninety plays. Of these, eighteen (plus a play of unknown authorship mistakenly included with his works) have come down to us from antiquity. In this first volume of a new Loeb edition of Euripides David Kovacs gives us a freshly edited Greek text of three plays and an accurate and graceful translation with explanatory notes. Alcestis is the story of a woman who agrees--in order to save her husband's life--to die in his place. Medea is a tragedy of revenge in which Medea kills her own children, as well as their father's new wife to punish him for his desertion. The volume begins with Cyclops, a satyr play--the only complete example of this genre to survive. Each play is preceded by an introduction. In a general introduction Kovacs demonstrates that the biographical tradition about Euripides---parts of which view him as a subverter of morality, religion, and art--cannot be relied on. He argues that this tradition has often furnished the unacknowledged starting point for interpretation, and that the way is now clear for an unprejudiced consideration of the plays themselves. David Kovacs, Professor of Classics at the University of Virginia has written widely about Euripides.",4.47,464.0,30.0,0,-1.0,-1.0,-1.0,Loeb Classical Library,9/1/1998,"Euripides Translations into English, Greek drama Tragedy Translations into English, Mythology Greek Drama",acbk,0.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,0.0,2.0
111,0152000178,1856068.0,The Stone Fey,None,Robin McKinley,Juvenile Fiction,"Maddy, a young woman who runs sheep on her family farm, develops an unusual relationship with an elusive mountain creature called a fey.",3.355,64.0,1030.5,0,-1.0,-1.0,-1.0,HMH Books for Young Readers,9/1/1998,Supernatural Fiction,jcbk,15.0,20.0,33.0,39.0,26.0,16.0,11.0,14.0,13.0,7.0,6.0,3.0,4.0
112,0789430746,1856675.0,A Young Person's Guide To Philosophy,"""I Think, Therefore I Am""",,Juvenile Nonfiction,Introduces over twenty-five of the world's greatest philosophers and presents a simple version of the tenets of philosophy.,3.91,64.0,57.0,0,-1.0,-1.0,-1.0,DK Children,9/21/1998,"Philosophy Juvenile literature, Philosophers Juvenile literature",jcbk,12.0,28.0,28.0,25.0,13.0,12.0,7.0,9.0,4.0,3.0,2.0,4.0,3.0
113,0060278420,1867095.0,Laura's Album,A Remembrance Scrapbook of Laura Ingalls Wilder,William Anderson,Juvenile Nonfiction,"Though best known as the author of the Little House books, Laura Ingalls Wilder led a full, rich life that spanned almost a century of American history. All through her life Laura saved mementos of her past, including early writings, letters, drawings, and photographs, which have been lovingly preserved in private and public collections across the country. Now, for the first time ever, these photographs, writings, and memorabilia have been gathered together in one incredible volume by noted Little House historian William Anderson. Each gorgeous page of LAURA'S ALBUM is a doorway into the private world of Laura Ingalls Wilder, and offers a unique glimpse of what her life was like. Here is the fascinating true story of this remarkable pioneer woman's life as well as an unforgettable tale of our own American past.",4.3,80.0,729.5,0,-1.0,-1.0,-1.0,HarperCollins,10/13/1998,"Wilder Laura Ingalls 1867 1957 Juvenile literature, Wilder Laura Ingalls 1867 1957 Pictorial works Juvenile literature, Women authors American 20th century Biography Juvenile literature, Women authors American 20th century Biography Pictorial works Juvenile literature, Frontier and pioneer life United States Juvenile literature, Frontier and pioneer life United States Pictorial works Juvenile literature, Women authors Juvenile literature, Authors Juvenile literature, Women Juvenile fiction",jcbk,8.0,21.0,16.0,20.0,15.0,6.0,14.0,12.0,8.0,10.0,2.0,2.0,2.0
114,0316341517,1867432.0,Mythology,None,Edith Hamilton,Social Science,"Since its original publication by Little, Brown and Company in 1942, Edith Hamilton's Mythology has sold millions of copies throughout the world and established itself as a perennial bestseller in its various available formats: hardcover, trade paperback, mass market paperback, and e-book. Mythology succeeds like no other book in bringing to life for the modern reader the Greek, Roman, and Norse myths and legends that are the keystone of Western culture - the stories of gods and heroes that have inspired human creativity from antiquity to the present.",3.995,497.0,34928.5,0,-1.0,-1.0,-1.0,Little  Brown and Company,9/14/1998,Mythology,acbk,21.0,24.0,28.0,27.0,59.0,51.0,47.0,35.0,11.0,3.0,6.0,3.0,0.0
115,0385324138,1870332.0,The Outlandish Companion,"In which Much is Revealed Regarding Claire and Jamie Fraser, Their Lives and Times, Antecedents, Adventures, Companions, and Progeny, with Learned Commentary (and Many Footnotes) by Their Humble Creator",Diana Gabaldon,Literary Criticism,"The creator of the Outlander series gives fans the skinny on her epic saga of time travel, adventure, and love everlasting, offering a complete listing of the characters and their genealogy; a glossary of Gaelic terms; and more. Tour.",4.075,577.0,11312.0,0,-1.0,-1.0,-1.0,Delacorte Press,6/29/1999,"Gabaldon Diana Authorship, Gabaldon Diana Books and reading, Randall Claire Fictitious character, Fraser Jamie Fictitious character, Historical fiction Authorship, Fantasy fiction Authorship, Time travel in literature, Love stories Authorship, Scotland In literature",acbk,21.0,43.0,40.0,32.0,35.0,33.0,37.0,13.0,14.0,19.0,25.0,9.0,3.0
116,0060245603,1872250.0,Today I Feel Silly  Other Moods That Make My Day,None,Jamie Lee Curtis,Juvenile Fiction,"Today I feel silly. Mom says it's the heat. I put rouge on the cat and gloves on my feet. I ate noodles for breakfast and pancakes at night. I dressed like a star and was quite a sight. Today I am sad, my mood's heavy and gray. There's a frown on my face and it's been there all day. My best friend and I had a really big fight. She said that I tattled and I know that she's right. Silly, cranky, excited, or sad--everyone has moods that can change each day. Jamie Lee Curtis's zany and touching verse, paired with Laura Cornell's whimsical and original illustrations, helps kids explore, identify, and, even have fun with their ever-changing moods. Here's another inspired picture book from the bestselling author-illustrator team of Tell Me Again About the Night I Was Born and When I Was Little: A Four-Year-Old's Memoir of Her Youth.",4.155,40.0,4100.5,0,-1.0,-1.0,-1.0,HarperCollins,7/31/2007,"Emotions Juvenile fiction, Stories in rhyme Juvenile fiction",jcbk,58.0,135.0,164.0,143.0,119.0,114.0,129.0,118.0,105.0,73.0,68.0,53.0,33.0
117,0811214001,1872695.0,Everything and Nothing,None,Jorge Luis Borges,Literary Collections,"""Some of the most witty, uncannily original short fiction in Western Literature."" The New Yorker""",4.375,108.0,573.5,0,-1.0,-1.0,-1.0,New Directions,4/17/1999,Borges Jorge Luis 1899 1986 Translations into English,acbk,6.0,8.0,8.0,20.0,34.0,37.0,30.0,34.0,21.0,8.0,10.0,5.0,3.0
118,0375752676,1874719.0,Iceland,Land of the Sagas,David Roberts;Jon Krakauer,Travel,Photographs exploring the grandeur of Iceland's remarkable geography accompany tales of real-life heroes and supernatural beings,3.715,160.0,322.5,0,-1.0,-1.0,-1.0,Villard,10/6/1998,"Sagas, Iceland Description and travel",acbk,11.0,9.0,13.0,18.0,25.0,21.0,17.0,21.0,10.0,33.0,36.0,36.0,24.0
119,0609602195,1877838.0,The Barefoot Contessa Cookbook,Secrets from the Legendary Specialty Food Store for Simple Food and Party Platters You Can Make at Home,Ina Garten,Cooking,"Presents a collection of recipes for appetizers, entrees, desserts, and accompaniments",4.15,256.0,28105.5,0,-1.0,-1.0,-1.0,Clarkson Potter,4/6/1999,"Barefoot Contessa Store, Cooking",acbk,51.0,111.0,72.0,78.0,92.0,66.0,57.0,47.0,39.0,28.0,25.0,23.0,10.0
120,0439064864,1886970.0,Harry Potter and the Chamber of Secrets (Book 2),None,"Rowling, J.K.",Juvenile Fiction,"In Harry Potter and the Chamber of Secrets, the summer after Harry’s first year at Hogwarts has been his worst summer ever… the Dursleys more distant and horrible than ever before. But just as he’s packing his bags to return to school, a creature named Dobby the house-elf announces that if Harry goes back to Hogwarts, disaster will strike. And it turns out, Dobby is right. Harry and Ron miss the Hogwarts Express, so they fly to school in a blue Ford Anglia, crash landing in the notorious Whomping Willow. Soon other worries accumulate: the outrageously stuck-up new professor Gilderoy Lockhart; a ghost named Moaning Myrtle, who haunts the girls' bathroom; the strange behavior of Ron's little sister, Ginny Weasley; rumors about the ""Chamber of Secrets,"" a cavern buried deep below Hogwarts; and a magical diary owned by Tom Riddle, a Hogwarts student of long ago. Harry is also shocked to discover that he can speak Parseltongue, the language of snakes - a rare ability that Lord Voldemort also possessed - and that anti-Muggle prejudice exists in the Wizarding world, even affecting Harry's friend Hermione. But all of these seem like minor concerns when someone starts turning Hogwarts students to stone: an evildoer said to be the fearsome Heir of Salazar Slytherin, on of the founders of the school. Could it be Draco Malfoy, Harry's most poisonous rival? Could it be Hagrid whose mysterious past is finally told? Or could it be the one person everyone at Hogwarts most suspects: Harry Potter himself?",4.415,341.0,2204762.5,0,-1.0,-1.0,-1.0,Arthur A. Levine Books / Scholastic Inc.,6/2/1999,"Wizards Juvenile fiction, Magic Fiction, Schools Fiction, Potter Harry Fictitious character Juvenile fiction, England Juvenile fiction",jcbk,256.0,334.0,372.0,393.0,445.0,432.0,467.0,339.0,368.0,326.0,371.0,494.0,408.0
121,0679431373,1890018.0,Gargantua and Pantagruel,None,François Rabelais,Fiction,"A fantasy of life amongst the monks and friars of 16th-century France which remains a satirical and comic classic. Rabelais espouses a positive view of life in which tolerance, goodness, understanding and wisdom are opposed to dogmatism, pride and cruelty.",3.71,807.0,50.5,0,-1.0,-1.0,-1.0,Alfred A. Knopf  Inc.,5/10/1994,"Fantasy fiction French Translations into English, Gargantua Legendary character Fiction, Giants Fiction",acbk,5.0,7.0,8.0,10.0,10.0,8.0,7.0,4.0,6.0,8.0,0.0,0.0,0.0
122,0385017332,1890059.0,Love Poems and Sonnets,None,William Shakespeare,Drama,A compilation of Shakespeare's sonnets and love poems features color illustrations.,4.34,160.0,5716.5,0,-1.0,-1.0,-1.0,Doubleday Books,9/3/1957,"Love poetry English, Sonnets English",acbk,2.0,5.0,7.0,6.0,10.0,5.0,4.0,5.0,7.0,2.0,2.0,1.0,2.0
