,isbn10,isbn13,title,authors,edition,binding,publisher,publish_year
506,1451695209,9781451695205,Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,"Alexander III M.D., Eben",1,Kindle Edition,Simon & Schuster,2012
507,1250012570,9781250012579,Eleanor & Park,Rainbow Rowell,,Hardcover,St. Martin's Griffin,2013
508,1501115073,9781501115073,My Grandmother Asked Me to Tell You She's Sorry,Fredrik Backman,Reprint,Paperback,Washington Square Press,2016
509,0399172750,9780399172755,The Day the Crayons Came Home,"Daywalt, Drew",Illustrated,Hardcover,Philomel Books,2015
510,0545206952,9780545206952,I Survived: The Shark Attacks of 1916,Lauren Tarshis,Illustrated,Paperback,Scholastic,2010
511,0763655988,9780763655983,I Want My Hat Back,"Klassen, Jon",1st,Hardcover,Candlewick,2011
512,159285849X,9781592858491,The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are,Brené Brown,1,Paperback,Hazelden Publishing,2010
513,1416980083,9781416980087,Dork Diaries: Tales from a Not-So-Popular Party Girl,"Russell, Rachel Renée",Illustrated,Hardcover,Aladdin,2010
514,0544272994,9780544272996,What If?: Serious Scientific Answers to Absurd Hypothetical Questions,"Munroe, Randall",First Edition,Hardcover,Houghton Mifflin Harcourt,2014
515,0399256709,9780399256707,The Night Before Christmas (Book & DVD),Clement Clarke Moore,,Hardcover,G.P. Putnam's Sons Books for Young Readers,2011
516,1451648553,9781451648553,Steve Jobs,"Isaacson, Walter",Reissue,Kindle Edition,Simon & Schuster,2011
517,0316355895,9780316355896,The Land of Stories: Worlds Collide (The Land of Stories (6)),"Colfer, Chris",Illustrated,Hardcover,"Little, Brown Books for Young Readers",2017
518,1501100106,9781501100109,"10-Day Green Smoothie Cleanse, The Reboot With Joe Juice Diet, The Reboot With Joe Juice Diet Recipe Book, Reboot With Joe Fully Charged 4 Books Collection Set",J.J. Smith; Joe Cross,1,Paperback,Hay House UK/Hodder Paperbacks/Hodder & Stoughton,2020
519,0062363603,9780062363602,Hidden Figures: The American Dream and the Untold Story of the Black Women Mathematicians Who Helped Win the Space Race,"Shetterly, Margot Lee",Media tie-in,Paperback,William Morrow Paperbacks,2016
520,0553496700,9780553496703,"The Sun Is Also a Star (Yoon, Nicola)","Yoon, Nicola",3,Kindle Edition,Delacorte Press,2016
521,1934964387,9781934964385,"Scott Pilgrim, Vol. 6: Scott Pilgrim's Finest Hour",Bryan Lee O'Malley,1,Paperback,Oni Press,2010
522,0142425834,9780142425831,The 5th Wave: The First Book of the 5th Wave Series,"Yancey, Rick",Reissue,Paperback,Penguin Books,2015
523,1451688091,9781451688092,Team of Rivals: The Political Genius of Abraham Lincoln,"Goodwin, Doris Kearns",Media Tie-In,Paperback,Simon & Schuster,2012
524,0375856110,9780375856112,Inheritance: Book IV (Inheritance Cycle),"Paolini, Christopher",1st,Hardcover,Knopf Books for Young Readers,2011
525,0062110586,9780062110589,Pete the Cat and His Four Groovy Buttons,"Litwin, Eric",Illustrated,Hardcover,HarperCollins,2012
526,1451648537,9781451648539,Steve Jobs,"Isaacson, Walter",1,Hardcover,Simon & Schuster,2011
527,0062024035,9780062024039,Divergent,Veronica Roth,,Paperback,Katherine Tegen Books,2012
528,0440212561,9780440212560,Outlander,"Gabaldon, Diana",Reissue,Mass Market Paperback,Dell,1992
529,0062002945,9780062002945,Sh*t My Dad Says,"Halpern, Justin",1,Kindle Edition,Dey Street Books,2010
530,0062002945,9780062002945,Sh*t My Dad Says,"Halpern, Justin",1,Kindle Edition,Dey Street Books,2010
531,0553582011,9780553582017,A Dance with Dragons (A Song of Ice and Fire),George R. R. Martin,Reprint,Mass Market Paperback,Bantam,2013
532,0763655996,9780763655990,This Is Not My Hat,"Klassen, Jon",Illustrated,Hardcover,Candlewick,2012
533,076366040X,9780763660406,Flora and Ulysses: The Illuminated Adventures,"DiCamillo, Kate",1,Hardcover,Candlewick Press,2013
534,0812971833,9780812971835,"Elizabeth Strout Collection 5 Books Set (Olive Kitteridge, My Name Is Lucy Barton, Amy & Isabelle, The Burgess Boys, Anything is Possible)",Elizabeth Strout,Reprint,Paperback,Simon & Schuster/Penguin,2019
