isbn_b,isbn_a,title,authors,publisher,publish_year
0809023091,['0374500010'],Day (The Night Trilogy  #3),Elie Wiesel/Anne Borchardt,Hill and Wang,2006
0809037726,['0374500010'],Dawn (The Night Trilogy  #2),Elie Wiesel/Frances Frenaye,Hill & Wang,2006
0811839745,['0805079513'],Chicago Stories: Tales of the City,John  Miller/Stuart Dybek,Chronicle Books,2003
8445074873,['0345410017'],Fahrenheit 451,Ray Bradbury,Del Rey,2004
8478888845,['043935806X'],Harry Potter y la Orden del Fénix (Harry Potter  #5),J.K. Rowling,Emece Editores,2004
8478889930,['0590353403'],Harry Potter y el misterio del príncipe (Harry Potter  #6),J.K. Rowling/Gemma Rovira Ortega,Salamandra,2006
0859533301,['0859530124'],The Little Mouse  the Red Ripe Strawberry and the Big Hungry Bear,Don    Wood,Child's Play International,1996
0860688666,['038549081X'],Handmaid's Tale,Margaret Atwood,Virago Press Ltd,1994
0892967897,['0892960108'],Death of a Dreamer (Hamish Macbeth  #22),M.C. Beaton,Mysterious Press,2006
0940450313,['0307949524'],The House of Mirth / The Reef / The Custom of the Country / The Age of Innocence,Edith Wharton/R.W.B. Lewis,Library of America,1986
0099285045,['1416591311'],A Moveable Feast,Ernest Hemingway,Vintage,2012
0099429799,['0385503954'],Atonement,Ian McEwan,Vintage,2002
0099450259,"['0385509456', '0099450259']",The Curious Incident of the Dog in the Night-Time,Mark Haddon,Vintage,2004
0099456761,['0385509456'],The Curious Incident of the Dog In the Night-time,Mark Haddon,Red Fox,2004
0099461889,['031603133X'],Money,Martin Amis,Vintage,2005
0099486830,['0061853925'],Just One More Day: A Memoir,Susan    Lewis,Arrow Books,2006
0099489988,['1565124995'],Watermelon (Walsh Family  #1),Marian Keyes,Arrow,2005
