ISBN,Title,Author,Publisher,Publication Year,Subjects
141659907X,Drop dead healthy : one man's humble quest for bodily perfection,"Jacobs, A. J., 1968-","Simon & Schuster,",2012,Health
1599906953,Throne of glass,"Maas, Sarah J.","Bloomsbury,",2012,Juvenile fiction
1929132964,Hit the ball Duck,"Alborough, Jez","Kane/Miller Book Publishers, Inc.,",2006,Fiction Juvenile
0812993144,Tapestry of fortunes : a novel,"Berg, Elizabeth","Random House,",2013,Fiction
0448463318,Guppy up!,"Fenske, Jonathan","Penguin Young Readers,",2013,Juvenile fiction
1419705342,ART2-D2's guide to folding and doodling,"Angleberger, Tom","Amulet Books,",2013,Juvenile literature
1419704435,A year with friends,"Seven, John","Abrams Appleseed,",2013,Juvenile fiction
0316322121,Save Rafe!,"Patterson, James, 1947-","Little, Brown and Company,",2014,Juvenile fiction in
045146317X,Changes,"Butcher, Jim, 1971-","Roc/New American Library,",2010,Fiction
0440237688,The giver,"Lowry, Lois","Laurel Leaf Books,",2002,0
067003620X,"Raindrop, plop!","Lewison, Wendy Cheyette","Viking,",2004,Juvenile Fiction
0399242473,The dog who cried wolf,"Kasza, Keiko","G.P. Putnam's Sons,",2005,Dogs
1465434372,LEGO Star Wars in 100 scenes,"Lipkowitz, Daniel","DK Publishing,",2015,Star Wars Juvenile
0307273393,In the kingdom of men : a novel,"Barnes, Kim","Alfred A. Knopf,",2012,Young
031629683X,The beat goes on : the complete Rebus stories,"Rankin, Ian","Little, Brown and Company,",2015,Fiction
0439439663,The very beary tooth fairy,"Levine, Arthur A., 1962-","Scholastic Press,",2013,Tooth
1770461310,Pippi fixes everything,"Lindgren, Astrid, 1907-2002","Drawn & Quarterly,",2013,Longstocking
1465405836,Ahsoka in action!,"Richards, Jon, 1970-","DK Pub.,",2013,fiction Juvenile
0679863737,Sunset of the sabertooth,"Osborne, Mary Pope","Random House,",1996,Prehistoric Juvenile fiction
0805099166,Ninja! attack of the clan,"Chung, Arree","Henry Holt and Company,",2016,Juvenile fiction Ninja
141972231X,Everything I want to eat : Sqirl and the new California cooking,"Koslow, Jessica.","Abrams,",2016,Cooking California
1596439858,The Midnight Library,"Kohara, Kazuno","Roaring Brook Press,",2014,Juvenile fiction Fiction
1451691653,The geography of genius : a search for the world's most creative places from ancient Athens to Silicon Valley,"Weiner, Eric, 1963-","Simon & Schuster,",2016,and
0763673110,"Where are you going, Baby Lincoln?","DiCamillo, Kate","Candlewick Press,",2016,Sisters Juvenile fiction
0316375527,NanoBots,"Gall, Chris","Little, Brown and Company,",2016,Robots Fiction Juvenile
0545424984,The Raven King,"Stiefvater, Maggie, 1981-","Scholastic Press,",2016,Juvenile fiction
1594206449,When in French : love in a second language,"Collins, Lauren (Journalist)","Penguin Press,",2016,French language
1506700225,"Avatar, the last airbender. North and south. Part One","Yang, Gene Luen","Dark Horse Comics,",2016,Comic books strips
1419718908,Hannah and Sugar,"Berube, Kate,","Abrams Books for Young Readers,",2016,Dogs Fiction Fear
1465401822,Even droids need friends,"Beecroft, Simon","DK Publishing,",2013,fiction
1250027659,Accused,"Scottoline, Lisa","St. Martin's Press,",2013,Fiction fiction
0736426868,Vidia takes charge,"Lagonegro, Melissa","Random House,",2010,Tinker
0736426647,The spooky sound,"Lagonegro, Melissa","Random House,",2010,Juvenile fiction
0544430689,Curious George discovers the rainbow,"Cherrix, Amy E.,","Houghton Mifflin Harcourt,",2015,Juvenile fiction Rainbows
1594856540,Hiking the Wonderland trail : the complete guide to Mount Rainier's premier trail,"Asars, Tami.","Mountaineers Books,",2012,Guidebooks Hiking Washington
0060090014,Terrible storm,"Hurst, Carol Otis","Greenwillow Books,",2007,Juvenile fiction Massachusetts
1455581127,Mean streak,"Brown, Sandra, 1948-","Grand Central Publishing,",2014,Fiction
1935179071,Benny and Penny in The toy breaker : a toon book,"Hayes, Geoffrey","Toon Books,",2010,Comic books strips
1400063833,Until I find you : a novel,"Irving, John, 1942-","Random House,",2005,Fiction
1416915346,The McElderry book of Greek myths,"Kimmel, Eric A.","M.K. McElderry Books,",2008,Mythology
141691627X,Bounce,"Cronin, Doreen","Atheneum Books for Young Readers,",2007,Juvenile fiction
0763649465,Randy Riley's really big hit,"Van Dusen, Chris","Candlewick Press,",2012,Stories
1442446978,Puppy takes a bath,"Ricci, Christine","Simon Spotlight,",2012,Dora
0763649554,Bramble and Maggie : horse meets girl,"Haas, Jessie","Candlewick Press,",2012,Horses
039592720X,Interpreter of maladies : stories,"Lahiri, Jhumpa","Houghton Mifflin,",1999,East
0763645257,Where's Waldo?,"Handford, Martin","Candlewick Press,",2011,Juvenile Picture fiction
0545093104,Lone wolf,"Lasky, Kathryn","Scholastic Press,",2010,Wolves
0448447002,"The adventures of Daniel Boom, aka Loud Boy. [3], Game on!","Steinberg, David, 1962-","Grosset & Dunlap,",2009,books strips Comic
1616205717,As good as gone : a novel,"Watson, Larry, 1947-","Algonquin Books of Chapel Hill,",2016,Fiction
1101932813,Finding wild,"Lloyd, Megan Wagner","Alfred A. Knopf,",2016,Nature Senses and
1935954490,Sam and the construction site,"Veldkamp, Tjibbe","Lemniscaat,",2016,Juvenile
1250102464,The 65-story treehouse,"Griffiths, Andy, 1961-","Feiwel & Friends,",2017,Juvenile fiction Fiction
1594746036,Miss Peregrine's home for Peculiar Children,"Riggs, Ransom","Quirk Books,",2013,Fiction Grandfathers Orphanages
1338157698,Mimi the laughter fairy,"Meadows, Daisy","Scholastic Inc.,",2017,Juvenile fiction Fairies
1481420623,The moon's almost here,"MacLachlan, Patricia","Margaret K. McElderry Books,",2016,Juvenile fiction Fiction
0545861845,Bunny vs. Monkey,"Smart, Jamie","Scholastic Inc.,",2016,Comic books strips
0062319221,Kiss Carlo : a novel,"Trigiani, Adriana","Harper,",2017,Fiction
006209405X,Amelia Bedelia's first vote,"Parish, Herman","Greenwillow Books,",2012,Juvenile fiction
0544634497,TED talks : the official TED guide to public speaking,"Anderson, Chris, 1957 January 14-","Houghton Mifflin Harcourt,",2016,Public
0307981460,Ribbit!,"Folgueira, Rodrigo, 1972-","Alfred A. Knopf,",2013,Fiction
0374281084,The sport of kings,"Morgan, C. E., 1976-","Farrar, Straus and Giroux,",2016,Fiction
0545813263,Side by side,"Bright, Rachel","Scholastic Press,",2015,Juvenile fiction Fiction
1620408333,The watchmaker of Filigree Street,"Pulley, Natasha.","Bloomsbury,",2015,Fiction Women
1501125753,The relic master,"Buckley, Christopher, 1952-","Simon & Schuster,",2015,Fiction
1484732383,Disney bedtime favorites.,0,"Disney Press,",2016,Childrens stories
1591866669,Pacific Northwest month-by-month gardening : what to do each month to have a beautiful garden all year,"Pfeiffer, Christina Ann,","Cool Springs Press,",2017,Gardening
0805062904,"The guns at last light : the war in Western Europe, 1944-1945","Atkinson, Rick","Henry Holt and Co.,",2013,World
0316381152,For a little while : new and selected stories,"Bass, Rick, 1958-","Little, Brown,",2016,Short
0763692956,Kings of the castle,"Turnbull, Victoria","Templar Books, an imprint of Candlewick Press,",2017,Fiction Juvenile fiction
1476747237,The blazing world : a novel,"Hustvedt, Siri","Simon & Schuster,",2014,Fiction
1434296504,"Red Riding Hood, superhero : a graphic novel","Frampton, Otis","Stone Arch Books, a Capstone imprint,",2015,Comic books strips
150111641X,"Primal fat burner : live longer, slow aging, super-power your brain, and save your life with a high-fat, low-carb paleo diet","Gedgaudas, Nora T.","Atria Books,",2017,diet
0446532428,At first sight,"Sparks, Nicholas","Warner Books,",2005,Fiction
0060526734,The Berenstain Bears go back to school,"Berenstain, Stan, 1923-2005","HarperCollins,",2005,Juvenile fiction
0312358334,The abstinence teacher,"Perrotta, Tom, 1961-","St. Martin's Press,",2007,Fiction
0061142026,Stardust,"Gaiman, Neil","Harper Perennial,",2006,Fiction fiction
0545005418,The rabbit and the turtle : Aesop's fables,"Carle, Eric","Orchard Books,",2008,Juvenile literature
0803733836,Snowmen all year,"Buehner, Caralyn","Dial Books For Young Readers,",2010,Juvenile fiction
0061960306,Instructions,"Gaiman, Neil","Harper,",2010,Voyages
0061915106,My heart is like a zoo,"Hall, Michael, 1954-","Greenwillow Books,",2010,Juvenile
0316074233,The pale king : an unfinished novel,"Wallace, David Foster","Little, Brown and Co.,",2011,Fiction
0312651317,Love in a nutshell,"Evanovich, Janet","St. Martin's Press,",2012,Fiction
1594488436,"God's hotel : a doctor, a hospital, and a pilgrimage to the heart of medicine","Sweet, Victoria","Riverhead Books,",2012,Hospital San Francisco
141046217X,W is for wasted [text (large print)],"Grafton, Sue","Thorndike Press,",2013,Fiction
0375870334,"Alvin Ho : allergic to babies, burglars, and other bumps in the night","Look, Lenore","Schwartz & Wade Books,",2013,Juvenile fiction Chinese
1596435127,How to bicycle to the moon to plant sunflowers : a simple but brilliant plan in 24 easy steps,"Gerstein, Mordicai","Roaring Brook Press,",2013,Juvenile
0446195510,True blue,"Baldacci, David","Grand Central Pub.,",2009,Fiction
0545652200,The finisher,"Baldacci, David","Scholastic Press,",2014,Juvenile fiction Fiction
0374246025,Radiance of tomorrow,"Beah, Ishmael, 1980-","Sarah Crichton Books/Farrar, Straus and Giroux,",2014,Sierra Leone
0316024783,Doors open,"Rankin, Ian","Little, Brown and Co.,",2010,Scotland Edinburgh Fiction
0525423427,Miss Smith under the ocean,"Garland, Michael, 1952-","Dutton Children's Books,",2011,Juvenile fiction
1442422335,How to dork your diary,"Russell, Rachel Renée","Aladdin,",2011,Fiction Juvenile fiction
0375425233,The inspector and silence : an Inspector Van Veeteren mystery,"Nesser, Håkan, 1950-","Pantheon Books,",2011,Fiction Sweden
1416906010,Big Bad Bunny,"Billingsley, Franny, 1954-","Atheneum Books for Young Readers,",2008,Juvenile
0300203446,The house of owls,"Angell, Tony","Yale University Press,",2015,Owls
0545665736,The honest truth,"Gemeinhart, Dan","Scholastic Press,",2015,Juvenile fiction children
0763650536,Mrs. Noodlekugel,"Pinkwater, Daniel Manus, 1941-","Candlewick Press,",2012,Babysitters
0763658421,The pirates next door : starring the Jolley-Rogers,"Duddle, Jonny","Templar,",2012,Pirates
0763619612,The dot,"Reynolds, Peter, 1961-","Candlewick Press,",2003,Juvenile fiction
1927018153,Murilla Gorilla : jungle detective,"Lloyd, Jennifer","Simply Read Books,",2013,Juvenile fiction
0689811721,Henry and Mudge and the wild goose chase : the twenty-third book of their adventures,"Rylant, Cynthia","Simon & Schuster Books for Young Readers,",1999,Juvenile fiction
0399254722,Bun Bun Button,"Polacco, Patricia","G. P. Putnam's Sons,",2011,Juvenile fiction
0517580519,The land of painted caves,"Auel, Jean M.","Crown Publishing,",2011,Fiction Women Europe
1416936394,Pretties,"Westerfeld, Scott","Simon Pulse,",2011,Juvenile fiction fiction
0061914622,The astonishing secret of Awesome Man,"Chabon, Michael","Balzer + Bray,",2011,Superheroes
1416971734,Leviathan,"Westerfeld, Scott","Simon Pulse,",2009,fiction Juvenile fiction
0810945975,Babar's museum of art : (closed Mondays),"Brunhoff, Laurent de, 1925-","Harry N. Abrams,",2003,Juvenile fiction
1512404268,The bath monster,"Boyd, Colin, 1978-","Andersen Press USA,",2016,Juvenile
1449471862,Stinky Cecil in Terrarium terror!,"Braddock, Paige","Andrews McMeel Publishing,",2016,Comic books strips
1632156318,"The wicked + the divine. Vol. 3, Commercial suicide","Gillen, Kieron","Image Comics, Inc.,",2016,Gods
0752847139,Asterix and the black gold,Uderzo,"Orion ; Distributed in the United States of America by Sterling Pub. Co.,",2001,Comic books strips
0060853972,"Good omens : the nice and accurate prophecies of Agnes Nutter, witch","Gaiman, Neil","Harpercollins,",2007,Fiction
0545599717,Wild born,"Mull, Brandon, 1974-","Scholastic Press Inc.,",2013,Juvenile fiction
1594486247,The painted girls,"Buchanan, Cathy Marie","Riverhead Books,",2013,Fiction France Paris
1465402659,Brain attack,"Saunders, Catherine","DK Publishing,",2013,Juvenile fiction
0763639591,Little Beauty,"Browne, Anthony, 1946-","Candlewick Press,",2008,Juvenile fiction
1442456841,Mice,"Fyleman, Rose, 1877-1957","Beach Lane Books,",2012,Juvenile
0545107822,I spy A to Z : a book of picture riddles,"Wick, Walter, 1953-","Scholastic,",2009,Picture
0448487004,Miss Bindergarten and the very wet day,"Slate, Joseph","Penguin Young Readers, an imprint of Penguin Group (USA) LLC,",2015,Juvenile fiction Schools
0316097772,Dare me : a novel,"Abbott, Megan E., 1971-","Little, Brown & Co.,",2012,Cheerleading
0316185612,The very fairy princess : here comes the flower girl!,"Andrews, Julie","Little, Brown,",2012,Juvenile fiction Flower
0312429967,"The Patrick Melrose novels : Never mind, Bad news, Some hope, and Mother's milk","St. Aubyn, Edward, 1960-","Picador,",2012,Fiction England and
141695774X,Owly & Wormy : friends all aflutter!,"Runton, Andy",Atheneum Books for Young Readers.,2011,Juvenile fiction
1416971742,Leviathan,"Westerfeld, Scott","Simon Pulse,",2010,Juvenile Fiction fiction
0590108247,The Magic School Bus and the science fair expedition,"Cole, Joanna","Scholastic Press,",2006,Juvenile
0316209341,The sasquatch escape,"Selfors, Suzanne","Little, Brown and Company,",2013,Imaginary
0374350582,A moose that says moooooooooo,"Hamburg, Jennifer","Farrar Straus Giroux,",2013,Juvenile fiction
0316155985,How to be a pirate,"Cowell, Cressida","Little, Brown,",2005,Juvenile fiction
0375840028,The sleepy little alphabet : a bedtime story from Alphabet Town,"Sierra, Judy","Alfred A. Knopf,",2009,Juvenile
1934964107,"Scott Pilgrim. Vol. 5, Scott Pilgrim vs the universe","O'Malley, Bryan Lee","Oni Press,",2009,books strips etc
1465428356,Snappy crocodile tale,"Foreman, Niki","DK Publishing,",2015,Crocodiles
1465458638,Stars and galaxies,"Buckley, James, Jr., 1963-","DK Publishing,",2017,Juvenile literature Astronomy
1501122983,Oh crap! potty training : everything modern parents need to know to do it once and do it right,"Glowacki, Jamie,","Touchstone,",2015,Toilet
1439187002,Unorthodox : the scandalous rejection of my Hasidic roots,"Feldman, Deborah, 1986-","Simon & Schuster,",2012,New York State
1935639870,Loitering : new & collected essays,"D'Ambrosio, Charles","Tin House Books,",2014,Essays
144243645X,Summer treasure,"McNamara, Margaret","Simon Spotlight,",2012,Juvenile
0763670022,Happy in our skin,"Manushkin, Fran","Candlewick Press,",2015,Juvenile fiction
1484719190,Disney Pixar storybook collection,0,"Disney Press,",2016,Juvenile fiction Monsters
147678938X,Use of force : a thriller,"Thor, Brad","Emily Bestler Books/Atria Books,",2017,Fiction
0375991220,Firefight,"Sanderson, Brandon","Delacorte Press,",2015,fiction Supervillains Juvenile
0399562362,A world in disarray : American foreign policy and the crisis of the old order,"Haass, Richard","Penguin Press,",2017,United
159643404X,Bunnies on ice,"Wright, Johanna","Roaring Brook Press,",2013,skating Fiction Juvenile
0823422348,Alligators and crocodiles,"Gibbons, Gail","Holiday House,",2010,Juvenile
0374292086,Wolf in white van,"Darnielle, John","Farrar, Straus and Giroux,",2014,Fiction
1596436689,A Bad Kitty Christmas,"Bruel, Nick","Roaring Brook Press,",2011,Juvenile fiction
1484743628,Hotel Bruce,"Higgins, Ryan T.","Disney-Hyperion,",2016,Juvenile fiction Fiction
0763690813,The further adventures of the Owl and the Pussycat,"Donaldson, Julia","Candlewick Press,",2017,Juvenile fiction
0439559650,Cat and mouse in a haunted house,"Stilton, Geronimo","Scholastic,",2004,Juvenile fiction
1410455300,Me before you [text (large print)],"Moyes, Jojo, 1969-","Thorndike Press,",2013,Fiction
1476709122,"Redefining realness : my path to womanhood, identity, love & so much more","Mock, Janet, 1983-","Atria Books,",2014,United States people
160886782X,Munchkin. Volume one,"Siddell, Tom","BOOM! Studios,",2016,Comic books strips
1442473517,Billy's booger : a memoir,"Joyce, William, 1957-","Atheneum Books for Young Readers,",2015,Juvenile fiction Fiction
141970415X,The villain virus,"Buckley, Michael, 1969-","Amulet Books,",2012,Juvenile fiction
0316013595,The arrangement : a novel,"Dunn, Sarah, 1969-","Little, Brown and Company,",2017,Fiction
0316239852,"David and Goliath [text (large print)] : underdogs, misfits, and the art of battling giants","Gladwell, Malcolm, 1963-","Little, Brown and Company,",2013,Motivation
1594202176,The selected works of T.S. Spivet,"Larsen, Reif","Penguin Press,",2009,Fiction fiction Montana
0545090660,The emperor's code,"Korman, Gordon","Scholastic,",2010,Ciphers
1416925449,Hide and sheep,"Beaty, Andrea","Margaret K. McElderry Books,",2011,Fiction
054511716X,Missile Mouse. Rescue on Tankium3,"Parker, Jake, 1977-","Graphix,",2011,books strips Comic
031238078X,Save me,"Scottoline, Lisa","St. Martin's Press,",2011,Fiction
140004281X,Runaway : stories,"Munro, Alice, 1931-","Knopf,",2004,Women
0439791456,Gregor and the marks of secret,"Collins, Suzanne","Scholastic Press,",2006,War
0735840822,"Good night, little rainbow fish","Pfister, Marcus","North South Books,",2012,Juvenile fiction
0307393860,The Story sisters : a novel,"Hoffman, Alice","Shaye Areheart Books,",2009,Fiction
0547792778,The outcast dead,"Griffiths, Elly","Houghton Mifflin Harcourt,",2014,Fiction
0425265005,Shifting shadows : stories from the world of Mercy Thompson,"Briggs, Patricia","Ace Books,",2014,Thompson
1596437170,Gravity,"Chin, Jason, 1978-","Roaring Brook Press,",2014,Gravity
0374298912,The ask,"Lipsyte, Sam, 1968-","Farrar, Straus and Giroux,",2010,Fiction College
1423122011,Pirate vs. pirate : the terrific tale of a big blustery maritime match,"Quattlebaum, Mary","Disney-Hyperion Books,",2011,Juvenile
1596437111,A home for Bird,"Stead, Philip Christian","Roaring Brook Press,",2012,Juvenile fiction
1426319592,"Sleep, bear!","Alinsky, Shelby","National Geographic,",2015,Bears Juvenile
1484723309,Frozen 5-minute stories.,0,"Disney Press,",2015,Princesses Juvenile fiction
0316263893,Big hero 6. 1,"Ueno, Haruki","Yen Press,",2015,Comic books strips
1449458270,"Woodstock, master of disguise : a Peanuts collection","Schulz, Charles M. (Charles Monroe), 1922-2000","Andrews McMeel Publishing,",2015,Comic books strips
0439650755,Gregor and the Prophecy of Bane,"Collins, Suzanne","Scholastic Press,",2004,Juvenile fiction Fiction
044657922X,Earth (the book) : a visitor's guide to the human race,0,"Grand Central,",2010,Humor
0547858930,Five little monkeys trick-or-treat,"Christelow, Eileen","Clarion Books,",2013,Juvenile fiction
0312622945,Rage against the dying,"Masterman, Becky","Minotaur Books,",2013,Fiction
1599618532,Star wars infinities. Return of the Jedi. Volume one,"Gallardo, Adam","Spotlight,",2011,books strips Comic
1421542218,"Pokémon. Zoroark, master of illusions","Inoue, Momota, 1985-","VIZ Media,",2011,books strips etc
0312380720,Look again,"Scottoline, Lisa","St. Martin's Press,",2009,Fiction children
0316018775,Swimsuit : a novel,"Patterson, James, 1947-","Little, Brown and Co.,",2009,Fiction Hawaii and
0803731922,I'm the biggest thing in the ocean,"Sherry, Kevin","Dial Books for Young Readers,",2007,Juvenile fiction
076367995X,Judy Moody and the bucket list,"McDonald, Megan","Candlewick Press,",2016,Juvenile fiction Moody
0425260364,Queen of hearts,"Bowen, Rhys","Berkley Prime Crime,",2014,Fiction and fiction
0446547387,Death of a valentine,"Beaton, M. C.","Grand Central Pub.,",2010,Fiction Scotland Highlands
1455568546,The trap,"Raabe, Melanie, 1981-","Grand Central Publishing,",2016,Fiction fiction
1423123123,"Oh no! ; or, How my science project destroyed the world","Barnett, Mac","Disney Hyperion,",2010,Science Juvenile fiction
1596916508,Methland : the death and life of an American small town,"Reding, Nick","Bloomsbury,",2009,Methamphetamine Iowa
1419700243,The cheerleaders of doom,"Buckley, Michael, 1969-","Amulet Books,",2011,Juvenile fiction
080756804X,Rapunzel,"Sage, Alison","Albert Whitman,",2011,Fairy
0545349206,The hidden kingdom,"Sutherland, Tui, 1978-","Scholastic Press,",2013,Juvenile fiction Fiction
1897476825,The best thing about kindergarten,"Lloyd, Jennifer","Simply Read Books,",2013,Kindergarten
1401238122,Tiny Titans. Aw yeah Titans!,"Baltazar, Art","DC Comics,",2013,Comic books strips
0374299080,By nightfall,"Cunningham, Michael, 1952-","Farrar, Straus and Giroux,",2010,New York
0763657662,"Merry Christmas, Maisy","Cousins, Lucy","Candlewick Press,",2012,Juvenile fiction books
0316241318,I will always write back : how one letter changed two lives,"Alifirenka, Caitlin,","Little, Brown and Company,",2015,Juvenile literature Pen
1250056470,Duck's vacation,"Soffer, Gilad","Feiwel & Friends,",2015,Fiction Juvenile Books
0545233453,Bailey at the museum,"Bliss, Harry, 1964-","Scholastic Press,",2012,Fiction Juvenile
0385507968,The river of doubt : Theodore Roosevelt's darkest journey,"Millard, Candice","Doubleday,",2005,Roosevelt River Amazon
1416941398,Zoom! boom! bully,"Scieszka, Jon","Aladdin,",2008,Juvenile fiction
0375501290,The botany of desire : a plant's-eye view of the world,"Pollan, Michael","Random House,",2001,Human
0316127396,To be sung underwater : a novel,"McNeal, Tom","Little, Brown and Co.,",2011,Love
1609052919,It's a firefly night,"Ochiltree, Dianne","Blue Apple Books,",2013,Juvenile fiction
0618226109,Curious George and friends : favorite stories,"Rey, Margret","Houghton Mifflin,",2003,Juvenile fiction
1465402640,The brain wars,"Saunders, Catherine","DK,",2013,LEGO
0316097519,"Alex Cross, run","Patterson, James, 1947-","Little, Brown,",2012,Fiction
0823425193,"Twinkle, twinkle, little star","Cabrera, Jane","Holiday House,",2012,Juvenile fiction
1481495623,Miffy rides a bike,"Testa, Maggie","Simon Spotlight,",2017,Juvenile fiction Rabbits
0441478123,The left hand of darkness,"Le Guin, Ursula K., 1929-","Ace Books,",2010,Science
0399558624,Henry in the dark.,0,"Random House,",2017,Juvenile fiction Fiction
1624143547,Paleo cooking with your Instant Pot : 80 incredible gluten- and grain-free recipes made twice as delicious in half the time,"Robins, Jennifer,","Page Street Publishing Co,",2017,Recipes diet Gluten
0545722888,The rooster who would not be quiet!,"Deedy, Carmen Agra","Scholastic Press,",2017,Fiction Juvenile fiction
1627790578,Shape shift,"Hesselberth, Joyce","Christy Ottaviano Books, Henry Holt and Company,",2016,Juvenile fiction Imagination
0763660132,If I had a triceratops,"O'Connor, George","Candlewick Press,",2015,Juvenile fiction Dinosaurs
1434296490,Super Billy Goats Gruff : a graphic novel,"Tulien, Sean","Stone Arch Books, a Capstone imprint,",2015,Goats Comic books
1426321252,"Hoot, owl!","Alinsky, Shelby","National Geographic,",2015,Snowy
0785193588,"Avengers assemble. [Season two, vol. 1] ","Caramagna, Joe","Marvel Worldwide, Inc.,",2015,books strips etc
0061915289,Forever friends,"Berger, Carin","Greenwillow Books,",2010,Fiction Juvenile
0763668737,"It's so amazing! : a book about eggs, sperm, birth, babies, and families","Harris, Robie H.","Candlewick Press,",2014,Juvenile literature Sex
0743276744,Three stations : an Arkady Renko novel,"Smith, Martin Cruz, 1942-","Simon & Schuster,",2010,Fiction Russia Moscow
1442443715,ABC zoo borns!,"Bleiman, Andrew","Beach Lane Books,",2012,Juvenile Zoo animals
0143119788,"Tinker, tailor, soldier, spy","Le Carré, John, 1931-","Penguin Books,",2011,Fiction
0439559634,Lost treasure of the Emerald Eye,"Stilton, Geronimo","Scholastic,",2004,Fiction
0763686581,The mystery of the haunted farm,"Dolan, Elys","Nosy Crow, an imprint of Candlewick Press,",2016,Juvenile fiction
1416902317,The Fran with four brains,"Benton, Jim","Simon & Schuster Books for Young Readers,",2006,Scientists
0670025488,May we be forgiven,"Homes, A. M.","Viking,",2012,Fiction
0763634522,Toot toot zoom!,"Root, Phyllis","Candlewick Press,",2009,Fiction
080507662X,At the supermarket,"Rockwell, Anne F.","Henry Holt,",2010,Juvenile fiction
0805079890,I'm a truck driver,"London, Jonathan, 1947-","Henry Holt,",2010,Juvenile
0743227441,The other Boleyn girl : a novel,"Gregory, Philippa","Simon & Schuster,",2003,Fiction Henry VIII
0545416779,How do dinosaurs say happy Chanukah?,"Yolen, Jane","Blue Sky Press,",2012,Juvenile
0763659037,The baby that roared,"Puttock, Simon","Candlewick,",2012,Juvenile fiction
0060756357,Pip Squeak,"Weeks, Sarah","Laura Geringer Books,",2007,Juvenile fiction
1410460460,A tale for the time being [text (large print)],"Ozeki, Ruth L.","Thorndike Press,",2013,Fiction
1607066874,"The walking dead. Volume 18, What comes after","Kirkman, Robert","Image ; Diamond [distributor],",2013,books strips etc
1465405852,"Star Wars, the clone wars. Masters of the force","Richards, Jon, 1970-","DK Pub.,",2013,Juvenile Star Wars
0805078975,Pardonable lies,"Winspear, Jacqueline, 1955-","H. Holt,",2005,Fiction England London
0811834778,The elves and the shoemaker,"LaMarche, Jim","Chronicle Books,",2003,Folklore
1250006341,The world of Downton Abbey,"Fellowes, Jessica","St. Martin's Press,",2011,Downton
1426321171,"Flutter, butterfly!","Alinsky, Shelby","National Geographic,",2015,Butterflies
0307700348,Golden age,"Smiley, Jane","Alfred A. Knopf,",2015,Fiction
0763680079,The princess and the giant,"Hart, Caryl","Nosy Crow, an imprint of Candlewick Press",2015,Juvenile fiction
0316335495,Ling & Ting : together in all weather,"Lin, Grace","Little, Brown and Company,",2015,Juvenile fiction
0670063150,Police officers on patrol,"Hamilton, K. R. (Kersten R.)","Viking,",2009,Juvenile
075669812X,LEGO Ninjago masters of Spinjitzu character encyclopedia,"Sipi, Claire","DK Pub.,",2012,Juvenile LEGO literature
1400078393,Learned optimism : how to change your mind and your life,"Seligman, Martin E. P.",Vintage Books.,2006,Optimism
0399245073,Old Bear and his cub,"Dunrea, Olivier","Philomel Books,",2010,Juvenile
0756668786,Planets in peril,"Burton, Bonnie, 1972-","Dorling Kindersley,",2010,Juvenile
0399227741,The very lonely firefly,"Carle, Eric","Philomel Books,",1995,Juvenile Toy and
0547173539,Tallulah's tutu,"Singer, Marilyn","Clarion Books,",2011,Ballet Fiction
1451624085,The vault,"Rendell, Ruth, 1930-2015","Scribner,",2011,Fiction England Sussex
0316133841,The adventures of Tintin. Red Rackham's treasure,"Hergé, 1907-1983","Little, Brown,",2011,books strips etc
0061724556,"Read it, don't eat it!","Schoenherr, Ian","Greenwillow Books,",2009,Juvenile
0316217646,Babylon's ashes,"Corey, James S. A.","Orbit,",2016,Fiction
0553511270,The opposite zoo,"Na, Il Sung","Alfred A. Knopf,",2016,Juvenile fiction Fiction
1594489785,The ten-year nap,"Wolitzer, Meg","Riverhead Books,",2008,Fiction
0803734085,Betty Bunny wants everything,"Kaplan, Michael B.","Dial Books for Young Readers,",2012,Fiction Juvenile
1455527955,Someone always knows,"Muller, Marcia","Grand Central Publishing,",2016,Fiction California
039306770X,Somewhere towards the end,"Athill, Diana","W.W. Norton,",2009,Biography Women English
1594202230,Shop class as soulcraft : an inquiry into the value of work,"Crawford, Matthew B.","Penguin Press,",2009,Work
0060583592,The Berenstain Bears' family reunion,"Berenstain, Stan, 1923-2005","HarperCollins Publishers,",2009,Juvenile fiction
0803734077,Betty Bunny loves chocolate cake,"Kaplan, Michael B.","Dial Books for Young Readers,",2011,Juvenile fiction Fiction
0316133884,Cigars of the Pharaoh,"Hergé, 1907-1983","Little, Brown and Company,",2011,Comic books strips
0785167048,"The superior Spider-Man. Vol. 1, My own worst enemy","Slott, Dan","Marvel Entertainment,",2013,books strips etc
1465408657,The race for Chi,"Amos, Ruth","DK Publishing,",2013,Animals
1501121464,Prisoners of geography : ten maps that explain everything about the world,"Marshall, Tim, 1959-","Scribner,",2015,Geopolitics
1451635753,Between the lines : a novel,"Picoult, Jodi, 1966-","Simon Pulse/Emily Bestler Books/Atria,",2012,Juvenile fiction and
1416540741,The tenderness of wolves,"Penney, Stef","Simon & Schuster,",2007,Fiction and Canada
1416535071,Born on a blue day : inside the extraordinary mind of an autistic savant : a memoir,"Tammet, Daniel, 1979-","Free Press,",2007,England
1455599735,Uganda be kidding me,"Handler, Chelsea","Grand Central Publishing,",2014,Travel
0307946673,Perfidia,"Ellroy, James, 1948-","Alfred A. Knopf,",2014,Fiction California Los
