ISBN,Title,Author,Publisher,Publication Year,Subjects
1410487857,When breath becomes air,"Kalanithi, Paul.","Thorndike Press, a part of Gale, Cengage Learning,",2016,Biography
0385537859,Inferno : a novel,"Brown, Dan, 1964-","Doubleday,",2013,Fiction
0345803485,Fifty shades of Grey,"James, E. L.","Vintage Books,",2012,Fiction
0805092994,The sixth extinction : an unnatural history,"Kolbert, Elizabeth","Henry Holt and Company,",2014,Mass
0439121981,Bob books fun!,"Maslen, Bobby Lynn","Scholastic,",1999,Primary Juvenile
0316172324,Blink : the power of thinking without thinking,"Gladwell, Malcolm, 1963-","Little, Brown and Co.,",2005,Decision
0316013684,The absolutely true diary of a part-time Indian,"Alexie, Sherman, 1966-","Little, Brown,",2007,Juvenile fiction Indians
0802122558,Euphoria : a novel,"King, Lily","Atlantic Monthly Press,",2014,Fiction New Guinea
0316206873,The silkworm,"Galbraith, Robert","Mulholland Books, Little, Brown and Company,",2014,Fiction
0061728470,"Time to sleep, Sheep the Sheep!","Willems, Mo","Balzer & Bray,",2010,Juvenile fiction
0439823234,"Let's play in the forest, while the wolf is not around","Rueda, Claudia","Scholastic Press,",2006,Juvenile literature Folk
1419702238,Cabin fever,"Kinney, Jeff","Amulet Books,",2011,Diaries
0544272889,The immortal Irishman : the Irish revolutionary who became an American hero,"Egan, Timothy","Houghton Mifflin Harcourt,",2016,Biography United States
037582538X,Wild about books,"Sierra, Judy","Knopf,",2004,Juvenile fiction
1501175564,What happened,"Clinton, Hillary Rodham","Simon & Schuster,",2017,United States Biography
0062024035,Divergent,"Roth, Veronica","Katherine Tegen Books,",2012,Fiction
0307269981,The girl who played with fire,"Larsson, Stieg, 1954-2004","Alfred A. Knopf,",2009,Fiction
141971189X,The long haul,"Kinney, Jeff","Amulet Books,",2014,Fiction Juvenile Automobile
006172842X,Let's say hi to friends who fly!,"Willems, Mo","Balzer & Bray,",2010,Juvenile fiction
1501162896,George & Lizzie : a novel,"Pearl, Nancy","Touchstone,",2017,Married
159420571X,Everything I never told you,"Ng, Celeste","Penguin Press HC,",2014,Fiction
1410477762,The girl on the train,"Hawkins, Paula","Thorndike Press,",2015,Fiction
0345544951,Small great things : a novel,"Picoult, Jodi, 1966-","Ballantine Books,",2016,Fiction
1594634718,Big magic : creative living beyond fear,"Gilbert, Elizabeth, 1969-","Riverhead Books,",2015,Creative
0307265749,The lowland : a novel,"Lahiri, Jhumpa","Alfred A. Knopf,",2013,Fiction
0810984911,The ugly truth,"Kinney, Jeff","Amulet Books,",2010,Fiction
